,username,Tribe,Leadership score,Neighourhood density
1432,,0,0.0008143413368251597,0.6713850755835693
1484,,0,0.0011346625512049786,0.6465068747677444
1580,,0,0.0004434828118450307,0.7265177779569459
1600,,0,0.0004249814670110389,0.7429378531073446
1606,,2,0.0009598668881258934,0.6417412935323383
1629,,2,0.00018634905125417353,0.8182696436238729
1657,,2,0.0002992587314901667,0.7138300296195033
1668,,0,0.0008723633387844243,0.6482316903369535
1700,,0,0.0006906164737398033,0.6720715683533688
1766,,1,4.667917764906207e-05,0.8506172839506173
1886,,1,0.008244079673461857,0.40281716269578355
1898,,1,9.178348064550121e-05,0.8448717948717949
1918,,3,0.011523896973450135,0.32285632553815347
1970,,2,0.0009190114550826571,0.6706126072802604
1996,,2,0.000576923493739639,0.7268947493466381
2029,,2,0.00027468826696685914,0.7242108975489332
2042,,2,0.00016782911304774012,0.8010158730158731
2074,,0,0.00012015285462117388,0.8180428134556575
2099,,0,0.00024174769887972026,0.7865655471289275
2134,,2,0.0013652911702534889,0.6043927648578812
2210,,2,0.003452228265751995,0.5368031358885017
2255,,0,6.280548732831088e-05,0.8306418219461698
2270,,0,5.038847026932889e-05,0.6426829268292683
2341,,0,1.451099175102756e-05,0.7698924731182796
2349,,1,5.966226546123363e-05,0.8260869565217391
2417,,3,0.008794331940477717,0.4282687176267462
2454,,0,0.00017358492573877715,0.6837899543378996
2455,,2,0.0009686213663034927,0.6643773092805911
2480,,2,0.00028669880878084487,0.77804775869292
2494,,0,0.0004563583447045928,0.6963004379834126
2558,,0,0.00032383265489629645,0.7634240433739965
2581,,0,7.460427334046385e-05,0.8198508318990246
2588,,1,0.00700908898333026,0.4237358604177718
2653,,0,0.00034341971587930053,0.725604670558799
2728,,0,0.0002836582113076956,0.7753363585701776
2736,,2,0.00029531683640475666,0.7582339955849889
2771,,1,2.4688016991446076e-05,0.8848861283643892
2842,,0,0.00011578815114247036,0.6897111327491074
2864,,2,0.00039211359625235693,0.7509433962264151
2904,,0,0.0005964236785233945,0.704966918274159
3017,,2,0.002681752353045887,0.5754730777105086
3049,,0,1.7325520476386197e-05,0.8430851063829787
3095,,0,0.00011357812869100368,0.7361466325660699
3115,,2,0.0006840661949531838,0.6871120847024461
3158,,0,4.3474567089319425e-06,0.9090909090909091
3174,,0,0.0004067789828349389,0.6329179646936657
3206,,2,0.0016320033569865852,0.6064578313253012
3256,,0,0.00014096496357918597,0.8065766294773928
3295,,3,0.0001968961028356847,0.593990216631726
3305,,2,0.0029137491782443826,0.5483223797993774
3414,,0,6.014798871665789e-05,0.851959686450168
3432,,2,0.0010257230104379917,0.6557352995121235
3584,,2,6.502043043415935e-05,0.8657580283793876
3600,,1,6.7145054802594e-06,0.9037037037037037
3621,,0,0.0008321880671273308,0.6579764121663563
3660,,1,2.3044386456815085e-05,0.8861111111111111
3755,,0,0.00011348811159103537,0.8021684737281067
3857,,1,5.8008620638662385e-06,0.9269433080070134
3863,,2,0.0003644918053443778,0.7614317673378076
3872,,2,0.0021465239565578286,0.58359983599836
3877,,0,0.00010831480203784821,0.780697563306259
3887,,0,6.711759005526232e-05,0.7867283950617284
4036,,0,0.00026292873220477224,0.7317073170731707
4134,,0,0.00038814701648879593,0.757881157784407
4163,,2,0.004681526362732303,0.5071680183501269
4167,,2,0.0016486629323381392,0.5964697729403612
4179,,2,0.0013161782089243634,0.6280624468660638
4182,,0,0.0003064217697291411,0.7658865409376657
4256,,2,0.0005106106209431852,0.7446365143263083
4286,,2,0.000771091993440897,0.7009506920841337
4327,,2,0.007458890200671285,0.43935314144227794
4373,,1,0.005145095251061053,0.4561604584527221
4407,,2,0.0011572630792681322,0.6629964766175529
4417,,2,0.0018549660118637045,0.5301146940491203
4434,,2,0.002065251144391945,0.5973247830029796
4461,,1,3.0169432690960747e-05,0.8820998278829604
4475,,1,2.3310588725151395e-05,0.8880701754385965
4504,,1,3.093027142796982e-05,0.8908780903665814
4564,,2,0.003947685623684969,0.5304376991447258
4565,,0,0.0005103395619437472,0.7106623147014823
4583,,2,0.00041350006974409366,0.759940872135994
4606,,1,0.004492439522050606,0.4426926667358158
4608,,1,2.126227610387398e-06,0.9447278911564626
4612,,2,0.0004789427810026644,0.7373090481786134
4823,,0,0.0005826657150335275,0.7239766081871345
4836,,0,0.0001574327353388347,0.8276379690949227
4853,,0,0.0004870265498851526,0.7247111862496478
4877,,2,0.0014760887542302282,0.618955223880597
4905,,3,0.004825156733146769,0.5104943718082404
4923,,2,0.00043815236308629267,0.7554536966301673
4952,,3,0.00020762485057946757,0.6236306729264476
4989,,0,8.715484232360023e-05,0.8066551921973609
5006,,2,0.0004138809734590147,0.7273821809425525
5043,,0,6.630549000633792e-06,0.8523076923076923
5062,,1,0.000343781758381695,0.7263309729871492
5085,,3,0.009401947468331426,0.3506400629335622
5159,,1,6.371178368978352e-05,0.858019801980198
5181,,3,0.017608778065552253,0.388784353218668
5243,,2,0.0002784169714574289,0.7990741652713483
5253,,2,0.00025989990502318797,0.7963416625837008
5283,,2,0.0009949488880536925,0.6642788320556323
5406,,2,0.0004347383643589601,0.6938363608135383
5431,,2,0.0007610120118756804,0.6741539825624353
5486,,1,0.0004634209981517124,0.6982485404503753
5494,,2,0.00023888824138927628,0.8043945545736805
5543,,2,0.0001422755025603946,0.7827543643096455
5545,,3,0.0007135284844704583,0.7237411711095921
5583,,3,0.004696397653546405,0.5050547717608629
5604,,2,0.00029546519391377357,0.7814603174603174
5612,,2,0.00012312421908544129,0.8404281496062992
5650,,3,0.018873176909690106,0.3626084830705293
5653,,2,0.00023815832210475428,0.7821333595981483
5701,,2,0.0009108798428214689,0.6570646766169155
5708,,2,0.002231974806021662,0.5866542826459235
5758,,0,7.932297623961636e-05,0.7955696202531646
5774,,2,0.0014312122342719376,0.6251202920192467
5818,,2,0.002124183655487322,0.5790577305905773
5925,,2,0.00019932969869781202,0.7614144424874678
5948,,0,0.0009103274214788755,0.6702344304996448
5952,,2,0.00022000006319458588,0.7548783747661053
5964,,0,0.00028519847128575203,0.7650945545682388
5991,,3,0.007255765416163761,0.48252986304715006
6131,,1,2.3663577655246726e-05,0.8790890269151139
6236,,2,2.5598907973386643e-05,0.8744909292854498
6351,,2,0.0018405957557794154,0.6146208815531524
6591,,2,0.0008066469780372696,0.6921182266009852
6596,,2,9.72280052992548e-05,0.7996727442730248
6622,,2,0.00248606158428472,0.6161915438821268
6631,,1,6.468413803044587e-05,0.8798988621997471
6726,,0,0.0004195415826711496,0.6681145431145431
6731,,2,0.0013233920047316145,0.6799478412054477
6806,,2,0.005484039946626355,0.4811098523673374
6815,,3,0.0007431006118947566,0.6352960102960103
6841,,2,0.0002959778901444039,0.7666925465838509
6876,,1,0.0001640561890616898,0.7869943676395289
6910,,1,9.588569988045103e-05,0.8204072294669412
6968,,0,9.492987620078361e-05,0.736697965571205
7048,,3,0.0001823030485795586,0.7640179910044977
7061,,2,0.003920154657815367,0.5238168577149017
7097,,2,0.001060773288967319,0.6684684684684684
7206,,1,1.5986283692814207e-05,0.8638838475499092
7238,,3,2.986504094480127e-05,0.6631578947368421
7247,,3,5.2177920367750645e-05,0.72473604826546
7258,,3,5.756418892455414e-05,0.7783687943262412
7288,,2,0.0020447876875903134,0.6027817998332675
7362,,1,0.0002985395332020638,0.7279649723967256
7409,,1,0.0001526126656031527,0.694620253164557
7556,,2,0.000185927373032178,0.760119940029985
7588,,1,0.00017845757286461894,0.8088711212640396
7620,,3,0.0004246109687415249,0.7276746242263483
7637,,3,0.0007772484957484103,0.7261963089988568
7692,,0,0.0018726986776985226,0.6128155617535579
7960,,2,0.0012515232470979734,0.6480516257135766
7992,,2,0.00011148345993985014,0.845395175263228
8004,,2,0.00036939797961067756,0.732183908045977
8027,,2,0.0009909642585307255,0.6408690546095126
8079,,2,0.00014553567144318582,0.8098415346121768
8157,,1,1.8962323714255558e-05,0.8808980213089802
8318,,1,5.359813802035735e-06,0.920899854862119
8405,,1,0.00020866929803807103,0.7597979797979798
8432,,2,0.00040824290145808153,0.7426895684960201
8451,,2,0.0003675998047441836,0.7133179785936865
8587,,2,0.002427569137097757,0.5713183695814463
8903,,2,0.00025767799974236733,0.7866142799078716
8949,,3,0.0007887842251678402,0.6751098773999538
8988,,2,0.0001380657746049362,0.7917771883289124
9135,,2,0.00023090728998035378,0.7579227388387694
9166,,2,0.00036569229045583927,0.7694599627560521
9502,,1,0.0004612909722956952,0.7682626538987688
9528,,2,5.9144692700386534e-05,0.7481857764876633
9595,,0,0.009042607275484272,0.43104576655556065
9691,,2,0.00019707500759115666,0.7272412599515403
9856,,0,0.0004590496791142952,0.7258298567023399
9890,,1,0.00010098277766285562,0.8205456095481671
9985,,2,1.596127537864831e-05,0.883441258094357
10111,,1,8.257357725729632e-06,0.9255952380952381
10259,,2,0.000150961678324784,0.7675398976211985
10351,,2,0.0012086732765130255,0.6473540643753409
10570,,2,0.00018581805202235683,0.8159054840416152
10602,,2,0.00024072796790978565,0.7918961447678993
10677,,1,3.6241725672485014e-05,0.8729298404095152
10694,,2,0.0004639311842566745,0.7102786320007455
10783,,2,0.001343746155402531,0.6270223152022315
10799,,1,0.00011900064932727843,0.8233756534727409
10810,,1,0.00015359513857311714,0.8339703774486383
10982,,1,0.00034646824213277943,0.7800273597811217
11448,,2,0.00014005700966764683,0.8401290322580646
11473,,1,3.06110521011943e-05,0.8858098423315814
11528,,2,0.0019269147999299522,0.5916619612271786
11569,,1,6.573024886052604e-05,0.8299625468164794
11720,,1,7.556499401193835e-05,0.8753830439223698
11760,,1,2.2053180730784197e-05,0.9164912280701755
11770,,2,0.000363270320378624,0.76772030651341
11827,,1,0.00028013535751176573,0.7609498031496063
11835,,2,0.0011232507344571309,0.657324787398936
11866,,2,0.0020188553224607785,0.5749223027970993
12021,,2,0.00035081085281708443,0.7680131362889984
12168,,1,0.0003364549811686376,0.7426181102362205
12221,,1,0.00023644019167111087,0.7827380952380952
12309,,1,0.00019063971075349907,0.773302822273074
12370,,1,5.610637093046562e-05,0.7442348008385744
12421,,1,0.00026354611085201043,0.7382091592617909
12567,,2,0.0011609454801109,0.6471571906354515
12714,,3,0.006774100201394428,0.48484351510181767
12937,,3,0.007001997793089027,0.45563012677106635
13086,,3,0.000404494263194092,0.6131734247096897
13089,,3,0.0001653447794814903,0.6779737675260064
13166,,1,8.339996719738924e-05,0.8674383868558626
13355,,1,0.00024736941058181605,0.7523809523809524
13379,,0,4.445876379396122e-06,0.8660968660968661
13495,,2,0.000482500458541667,0.7410919540229886
13505,,2,0.0004983023850086418,0.7147995345392997
13509,,1,2.5732846393959697e-05,0.8949111713339356
13596,,2,0.0020028863156109577,0.5976557398458926
13674,,2,0.00033852278933348557,0.776913227617453
13678,,1,3.7764654320651607e-06,0.955579058699101
13711,,1,6.889189015342519e-06,0.9351256575102279
13784,,1,0.00015378580729996647,0.7841772151898734
13796,,3,0.0001248163472328092,0.7331168831168832
13833,,2,0.002277413318681308,0.5851659751037345
13894,,1,1.9838108162008086e-05,0.9005649717514125
13975,,1,0.0002081538280454847,0.8044817927170869
13983,,1,0.00024935093684532345,0.8121409718987734
14116,,1,8.630021396001658e-06,0.9346642468239564
14127,,3,4.570133991692003e-05,0.7831677381648159
14135,,1,5.123135138271435e-06,0.9384180790960452
14200,,1,0.00016169321419548635,0.7739597942964002
14201,,1,3.892096314259694e-06,0.9444769140853302
14209,,3,0.0001864155549126405,0.5769230769230769
14217,,2,0.000257465364376672,0.7760037789324515
14225,,3,6.0821002205157104e-05,0.7762711864406779
14230,,1,4.084931070635079e-05,0.8769879909120415
14236,,1,1.5295385145848897e-05,0.9217361585782639
14242,,1,3.3308264411077426e-06,0.9407407407407408
14301,,1,2.1999113476392177e-06,0.9624924379915305
14308,,1,2.5307417229270064e-05,0.9152542372881356
14315,,1,5.138071041012501e-06,0.9502908514013749
14325,,1,2.437902893329743e-05,0.9316189362945646
14334,,1,3.923946844741331e-06,0.9455535390199638
14364,,3,0.001406059203260865,0.6203252032520326
14369,,1,0.000414782637590119,0.7238766980146291
14396,,1,4.572048686355042e-05,0.8491048593350383
14401,,1,3.202845815193353e-05,0.8839160839160839
14414,,1,4.5834927726366935e-05,0.8422939068100358
14438,,3,0.002444107553817523,0.611616793719422
14440,,1,6.249020869440301e-06,0.9417293233082706
14457,,3,2.5033126424497047e-05,0.7367424242424242
14468,,3,0.00025107995085329386,0.6636075949367088
14469,,1,0.00040981658699707976,0.718640350877193
14477,,3,1.5548093565058263e-05,0.7906403940886699
14503,,1,0.00011773289629619813,0.8461131676361714
14515,,3,0.0005641259799474117,0.6864686468646864
14559,,3,5.843512790262406e-05,0.6205533596837944
14579,,1,8.204383196165747e-05,0.864406779661017
14601,,1,0.00015037635603539653,0.7945205479452054
14619,,3,0.0001447807060928044,0.5703211517165006
14813,,1,0.0004963171627747634,0.7312470138557096
14828,,1,1.8247437418654015e-05,0.9030303030303031
14847,,3,0.00038092928942930063,0.707389613360787
14869,,3,0.01168638318185561,0.43031339031339033
14878,,1,0.00013944795317717123,0.812972972972973
14926,,1,4.5615386122583196e-05,0.8516865079365079
14932,,1,1.2489865770131005e-05,0.9310515873015873
14986,,1,0.00022671206990346234,0.7595959595959596
15032,,2,0.0017911774881325857,0.6088676374701152
15095,,3,3.5333432920090146e-05,0.8204081632653061
15108,,3,5.2261201064832426e-08,0.8333333333333334
15157,,1,0.0014368159606024142,0.616969696969697
15190,,1,2.9275860646935887e-06,0.9505012531328321
15294,,1,5.015419527454661e-06,0.9386567953463776
15330,,3,0.00013938937666396997,0.6549491211840888
15388,,1,0.00017994350526199179,0.7856067449563384
15432,,1,8.017659597659682e-05,0.8176576576576576
15531,,2,0.0017412101222494555,0.6204904456025532
15562,,1,5.428822279953743e-05,0.8336538461538462
15675,,1,4.9910929906858025e-06,0.931077694235589
15713,,1,4.6668184225721214e-05,0.8622710622710623
15917,,1,7.052747443925984e-05,0.8470266040688575
15977,,1,3.5640342267245095e-05,0.9008882655446471
16039,,1,2.4880244614685836e-05,0.8913043478260869
16097,,1,1.9188202492550278e-05,0.8941558441558441
16098,,1,1.1220939639978062e-05,0.9122157588577472
16119,,1,8.499448094558523e-06,0.9339477726574501
16125,,1,0.0003707716286131899,0.7384350393700787
16148,,2,3.2545157645238295e-05,0.7098150782361309
16203,,3,8.15471021259211e-05,0.7402031930333817
16233,,1,7.185467013139723e-05,0.8278474399164054
16274,,1,8.954981037604784e-06,0.9259796806966618
16353,,1,1.4897398272692276e-05,0.924748490945674
16366,,1,1.6129404037990393e-05,0.896969696969697
16463,,1,2.4380659886549067e-06,0.9611528822055138
16469,,1,2.0681252188784155e-05,0.9280223619846262
16470,,1,1.6224811977921338e-05,0.8942760942760942
16567,,1,2.6382655828244558e-05,0.8916275430359938
16576,,1,5.491090619129988e-06,0.9385045422781272
16698,,1,1.4561145701555072e-06,0.9713487071977638
16700,,1,1.710923323718731e-06,0.9717171717171718
16855,,1,4.915373404496725e-06,0.9459219858156028
981,,1,1.3635858976995587e-05,0.808974358974359
2458,,0,0.0001318491284265847,0.7568957456755493
3966,,2,0.00046027569436286805,0.6553697677028392
3967,,2,1.5276439495828345e-05,0.7902439024390244
4580,,0,2.392414619560841e-06,0.8695652173913043
4973,,3,1.1104468185885732e-05,0.783068783068783
5787,,3,4.81340799269271e-05,0.6305418719211823
6892,,3,4.445469246645221e-06,0.7727272727272727
9447,,3,4.062100877480548e-05,0.5666666666666667
9581,,2,7.713281929984908e-05,0.8040123456790124
10420,,3,2.071248970618572e-05,0.797979797979798
10430,,2,2.4611332418057435e-05,0.818686401480111
10737,,2,3.6723535152354407e-06,0.8768472906403941
10765,,2,0.00010075484537042213,0.6327868852459017
11500,,0,2.9367496598734553e-06,0.803921568627451
11816,,2,9.112147374758727e-06,0.7619047619047619
12504,,3,1.4619892281185423e-06,0.7777777777777778
13570,,3,6.4203800433341165e-06,0.8809523809523809
13693,,3,0.00010358136260871272,0.6301564722617354
13722,,3,0.0002093321466856479,0.6704260651629073
13943,,3,1.3186114846835298e-05,0.8301587301587302
14179,,1,2.6750269115614174e-06,0.9203778677462888
14197,,3,0.00019398210302366866,0.5697278911564626
14268,,2,8.131553678519286e-06,0.8823529411764706
14272,,3,1.015619275483331e-05,0.7908496732026143
14366,,3,5.219854833114698e-05,0.6809116809116809
14394,,3,2.8213555683090988e-05,0.7719512195121951
14404,,1,6.045895752607949e-05,0.8217054263565892
14455,,3,0.00026473173780495297,0.577639751552795
14464,,3,0.0002530418667526332,0.6978810663021189
14472,,3,6.442104971249859e-05,0.651219512195122
14491,,3,0.00036409589352108003,0.47610405323653965
14497,,3,0.00017576128828201247,0.6676328502415458
14513,,3,6.112854559354676e-05,0.5911330049261084
14605,,3,1.4053411868026842e-06,0.8363636363636363
14655,,3,6.627596209535586e-05,0.6210826210826211
14672,,3,2.657966234111947e-06,0.6944444444444444
14688,,3,0.00014955799635257537,0.5448275862068965
14773,,3,0.00019247840608052643,0.5602564102564103
14848,,3,5.135738878681428e-06,0.6985294117647058
14886,,3,6.1038239149487904e-06,0.7727272727272727
14908,,3,3.0059973968995053e-05,0.6376811594202898
14937,,3,0.00016151118779570662,0.641077441077441
14988,,3,1.373597424308927e-05,0.6666666666666666
